TRANSPORTISTA,CD,FECHA,SEMANA,MES ,PLACAS,FUENTE,REPORTE,SISTEMA,ESTADO,CRITICIDAD,FECHA SOLUCIÓN,DÍAS DE CIERRE,DÍAS PARA CIERRE,CUMPLIMIENTO MTTO COR,META,META RT,PORCENTAJE DE RESPUESTA TALLER,OBSERVACIONES,EVIDENCIAS ANTES,EVIDENCIAS DESPUES
Logisticos,La Arenosa,2/1/2026,1,Enero,COVEN015,Checklist T2,Tiene la carpa rota de ambos lados y las llantas mordiquiadas de ambos lados le faltan las correa y los malacate,CARPAS/ESTERAS,Cerrado,0,1/5/2026,,,,80%,,,,https://drive.google.com/file/d/1wQlLw7xc9sWXCoVldKRNBgeGcPXPKJBS/view?usp=drivesdk,https://drive.google.com/file/d/15HapvEisrQ4sEUtzsoVKVWaS3_-D9cyS/view?usp=drivesdk
Logisticos,La Arenosa,2/1/2026,1,Enero,COVEN015,Checklist T2,Tiene la carpa rota de ambos lados y las llantas mordisquiadas de ambos lados,CARPAS/ESTERAS,Cerrado,0,1/5/2026,,,,80%,,,,https://drive.google.com/file/d/1wr1JwwkvJwZVKJWO0guN3V7UuZ6EoVZ5/view?usp=drivesdk,
Logisticos,La Arenosa,4/1/2026,1,Enero,COJTX435,Checklist T2,Tiene la defensa delantera como la trasera machucada y las llantas mordisquiadas de ambos lados y con boquete,CARROCERÍA BOTELLERA,Cerrado,0,1/7/2026,,,,80%,,,,,
Logisticos,La Arenosa,4/1/2026,1,Enero,COJTX435,Checklist T2,Tiene la defensa delantera machucada y las llantas mordisquiadas de ambos lados y la defensa trasera dobladas,CARROCERÍA BOTELLERA,Cerrado,0,1/7/2026,,,,80%,,,,,
Logisticos,La Arenosa,4/1/2026,1,Enero,COVEN064,Checklist T2,El vehículo tiene una fuga en el sistema de aire,FRENOS,Cerrado,0,,,,,80%,,,,,
Logisticos,La Arenosa,4/1/2026,1,Enero,COJTX923,Checklist T2,Retrovisor partido del lado del conductor conductor,,Abierto,1,,,,,80%,,,,,
Logisticos,La Arenosa,4/1/2026,1,Enero,COJTX923,Checklist T2,Retrovisor partido lado del conductor,ESPEJOS Y VIDRIOS,Cerrado,1,1/5/2026,1.00,0,100%,80%,50%,100%,Se reemplaza retrovisor por uno de stock ,,
Logisticos,La Arenosa,3/1/2026,1,Enero,COLJU874,Checklist T2,Revisar luces de parqueo están trabajando 50 % el vidrio del lado del conductor está dañado y los retrovisores auxiliares están ausente,ESPEJOS Y VIDRIOS,Cerrado,0,,,,,80%,,,,,
Logisticos,La Arenosa,2/1/2026,1,Enero,COVCM612,Checklist T2,Sale como está en el patio con una carretilla y con el retrovisor de lado el conductor partido la pasta,CARRETILLAS,Cerrado,0,,,,,80%,,,,,
Logisticos,La Arenosa,4/1/2026,1,Enero,COJTX918,Checklist T2,Sale una carretilla y un cono luna partida las derecha,CARRETILLAS,Cerrado,1,1/5/2026,1.00,0,100%,80%,50%,100%,"Se habilita carretilla, y se solicita recambio de conos por USO",,
